tr_date,tr_time,tr_open,tr_high,tr_low,tr_close,tr_segment,stock_name
03-01-2019,11:43:59,27010.15,27012.1,26985.8,26994.6,4,BANKNIFTY
03-01-2019,11:44:59,26994.75,27010.55,26994.75,27007.65,4,BANKNIFTY
03-01-2019,11:45:59,27006.65,27006.65,26988.25,26998.6,4,BANKNIFTY
03-01-2019,11:46:59,26998.7,27001,26987.75,26996.4,4,BANKNIFTY
03-01-2019,11:47:59,26999.2,27012.25,26998.7,27008.25,4,BANKNIFTY
03-01-2019,11:48:59,27008.45,27022.3,27003.05,27018.1,4,BANKNIFTY
03-01-2019,11:49:59,27017.85,27025.15,27014.3,27020.9,4,BANKNIFTY
03-01-2019,11:50:59,27020.25,27024.6,27012.05,27024.2,4,BANKNIFTY
03-01-2019,11:51:59,27024.4,27026.5,27012.3,27023.7,4,BANKNIFTY
03-01-2019,11:52:59,27026.25,27031.3,27013.75,27019.4,4,BANKNIFTY
03-01-2019,11:53:59,27020.7,27020.7,26999.2,27000.45,4,BANKNIFTY
03-01-2019,11:54:59,26994.25,27010.25,26991.45,27009.1,4,BANKNIFTY
03-01-2019,11:55:59,27010.6,27019.1,27010.6,27013.55,4,BANKNIFTY
03-01-2019,11:56:59,27012.9,27013.3,27001.45,27009.25,4,BANKNIFTY
03-01-2019,11:57:59,27007.15,27014.5,27004.8,27014.5,4,BANKNIFTY
03-01-2019,11:58:59,27015.25,27015.25,27006.4,27010.25,4,BANKNIFTY
03-01-2019,11:59:59,27010.1,27013.5,27004.05,27012.8,4,BANKNIFTY
03-01-2019,12:00:59,27013.1,27013.1,27007.6,27010.6,4,BANKNIFTY
03-01-2019,12:01:59,27009.75,27033.55,27009.75,27033.3,4,BANKNIFTY
03-01-2019,12:02:59,27033.45,27036.35,27027.6,27032.25,4,BANKNIFTY
03-01-2019,12:03:59,27032.4,27034.65,27029.45,27030.75,4,BANKNIFTY
03-01-2019,12:04:59,27031.15,27037.25,27029.45,27031.35,4,BANKNIFTY
03-01-2019,12:05:59,27030.25,27031.1,27013.75,27016.65,4,BANKNIFTY
03-01-2019,12:06:59,27016.8,27020.45,27011.55,27011.6,4,BANKNIFTY
03-01-2019,12:07:59,27012.8,27020.35,27007.95,27017.95,4,BANKNIFTY
03-01-2019,12:08:59,27016.9,27020.4,27015.4,27018,4,BANKNIFTY
03-01-2019,12:09:59,27017.5,27023.8,27017.5,27019.95,4,BANKNIFTY
03-01-2019,12:10:59,27019.75,27023.85,27016.15,27023.85,4,BANKNIFTY
03-01-2019,12:11:59,27023.65,27027.25,27017.1,27019.7,4,BANKNIFTY
03-01-2019,12:12:59,27021.1,27030.1,27017.4,27027.35,4,BANKNIFTY
03-01-2019,12:13:59,27028.75,27033.7,27028.75,27030.95,4,BANKNIFTY
03-01-2019,12:14:59,27030.55,27031.85,27019.3,27021.6,4,BANKNIFTY
03-01-2019,12:15:59,27020.1,27020.1,27006.7,27009.05,4,BANKNIFTY
03-01-2019,12:16:59,27009.05,27017.1,27004.7,27017.1,4,BANKNIFTY
03-01-2019,12:17:59,27017.95,27022.95,27015.15,27020.9,4,BANKNIFTY
03-01-2019,12:18:59,27020.85,27030.8,27016.3,27019.3,4,BANKNIFTY
03-01-2019,12:19:59,27017.05,27020.7,27011.05,27019.55,4,BANKNIFTY
03-01-2019,12:20:59,27021,27026.95,27016.6,27025.8,4,BANKNIFTY
03-01-2019,12:21:59,27026.5,27033.1,27021.95,27021.95,4,BANKNIFTY
03-01-2019,12:22:59,27020.75,27023,27013.25,27013.25,4,BANKNIFTY
03-01-2019,12:23:59,27013.45,27014.4,26996.3,26996.3,4,BANKNIFTY
03-01-2019,12:24:59,26998.15,27008.95,26996.25,27005.75,4,BANKNIFTY
03-01-2019,12:25:59,27004.35,27006.8,26977.75,26986.9,4,BANKNIFTY
03-01-2019,12:26:59,26987.15,27007.1,26987.05,27002.85,4,BANKNIFTY
03-01-2019,12:27:59,27003.25,27008.1,26997.35,27002.8,4,BANKNIFTY
03-01-2019,12:28:59,27002.6,27009,26999.25,27000.3,4,BANKNIFTY
03-01-2019,12:29:59,27000.3,27003.65,26998.25,26999.6,4,BANKNIFTY
03-01-2019,12:30:59,26999.55,27012.9,26997,27012.9,4,BANKNIFTY
03-01-2019,12:31:59,27012.55,27020.9,27012.55,27015.05,4,BANKNIFTY
03-01-2019,12:32:59,27015.95,27026.15,27015.35,27026.15,4,BANKNIFTY
03-01-2019,12:33:59,27024.55,27033.65,27023.4,27030.65,4,BANKNIFTY
03-01-2019,12:34:59,27030.95,27036.25,27020.65,27025.4,4,BANKNIFTY
03-01-2019,12:35:59,27025.4,27051.4,27025.4,27048.65,4,BANKNIFTY
03-01-2019,12:36:59,27048.5,27055.8,27041.25,27055,4,BANKNIFTY
03-01-2019,12:37:59,27055.15,27060.2,27052.2,27052.8,4,BANKNIFTY
03-01-2019,12:38:59,27050.7,27056.45,27039.05,27039.05,4,BANKNIFTY
